日期(年),單位,能源總需要,國內能源消費(+),出口(+)_小計,出口(+)_石油產品,出口(+)_其他,國際海運(+),國際航空(+),存貨變動(+),產品間轉換(轉出)(+),統計差異(+),轉變投入(+),轉變產出合計(-)_小計,轉變產出合計(-)_轉變產出,轉變產出合計(-)_產品間轉換(轉入),損耗(+)
2002,千公秉油當量,111483,68750,6846,6837,9,2790,1948,-818,11961,315,101425,82581,72218,10362,847
2003,千公秉油當量,119569,72469,11123,11115,8,3430,1921,-1649,14042,363,110107,93076,80570,12506,839
2004,千公秉油當量,132696,75706,14888,14886,2,2771,2193,3187,15221,57,119325,101554,87174,14380,901
2005,千公秉油當量,133977,76918,17296,17262,34,2720,2272,1046,17751,-2023,123560,106485,90093,16392,922
2006,千公秉油當量,136715,77958,16554,16538,16,2682,2365,1535,17461,-211,123525,106126,90080,16045,972
2007,千公秉油當量,143898,82644,19594,19585,9,2401,2336,404,19686,-411,125138,108830,90495,18335,935
2008,千公秉油當量,138445,78901,19044,18974,70,2068,2062,673,20293,171,118970,104574,85563,19011,838
2009,千公秉油當量,135255,77971,20878,20848,30,1831,1949,-1393,18860,-506,118680,103930,86372,17558,915
2010,千公秉油當量,141666,82893,18064,17972,92,1978,2199,-108,22559,597,120170,107668,86992,20675,982
2011,千公秉油當量,137677,81070,15522,15443,79,1809,2193,-1269,23806,628,118767,105869,83460,22409,1019
2012,千公秉油當量,140551,81174,18889,18799,89,1313,2306,-409,24767,58,122756,111240,87703,23537,936
2013,千公秉油當量,142809,83527,19489,19477,12,1360,2445,-1107,24884,291,121427,110320,86271,24049,813
2014,千公秉油當量,147144,84714,19395,19338,57,1304,2667,715,25488,474,124161,112760,87617,25143,986
2015,千公秉油當量,144859,85043,18800,18796,4,1220,2840,326,25876,1089,121895,113169,87076,26093,940
2016,千公秉油當量,145213,85350,19310,19298,11,1440,3053,-820,25115,781,124030,113959,88284,25675,915
2017,千公秉油當量,145229,85092,19018,18976,42,1346,3165,-128,27581,38,123336,115161,87813,27348,942
2018,千公秉油當量,147174,86414,20449,20430,20,1307,3234,-792,27560,156,127756,119898,92460,27438,988
2019,千公秉油當量,146722,83594,21758,21742,16,1444,3343,384,27025,784,126084,118627,91660,26967,933
2020,千公秉油當量,136819,83848,14503,14411,92,1328,2074,1714,29685,-1017,116647,112960,83504,29456,997
2021,千公秉油當量,142625,88249,15899,15863,36,1652,2026,617,30429,279,121748,119231,88877,30354,957
2022,千公秉油當量,140240,83130,18569,18529,41,1557,2010,308,31712,795,121568,120430,88749,31681,1022
